编号,图标预览,中文名,英文名,图标来源,图标集,场景章节,隐喻含义,建议用法,中文关键词,英文关键词,所在PPT页码,所在PPT分类,Office改色状态,授权提示
STRAT-025,,增长飞轮,Flywheel,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,四段循环互相驱动越转越快,用于自我强化的商业模式设计,飞轮 / Flywheel / 复合增长,"flywheel, compounding",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-026,,北极星指标,NorthStar,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,顶部一颗星指引下方多团队朝同一方向努力,用于战略对齐与单一指标导航,北极星 / 指北 / 对齐指标,"north-star, guiding-metric",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-027,,战略支柱,StrategicPillars,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,顶上目标由数根支柱共同承载,用于战略目标分解与责任划分,战略支柱 / Pillars / 支撑,strategic-pillars,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-028,,护城河,Moat,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,城堡象征核心业务，外围水池象征防御性壁垒,用于竞争壁垒分析与构建,护城河 / Moat / 壁垒,"moat, competitive-advantage",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-029,,变革理论,TheoryOfChange,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,投入→活动→产出→成果的逻辑链,用于变革项目的因果论证,变革理论 / ToC / 因果链,theory-of-change,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-030,,价值曲线,ValueCurve,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,横轴是竞争要素，纵轴是投入水平的价值轮廓,用于价值创新与战略画布,价值曲线 / 战略画布,"value-curve, strategy-canvas",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-031,,风险-回报矩阵,RiskReturnMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,高/低风险与高/低回报的投资象限,用于投资组合配置,风险回报 / 投资象限,"risk-return, portfolio",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-032,,成本-差异化,GenericStrategies,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,成本领先/差异化/聚焦三大通用竞争战略,用于竞争定位选择,通用战略 / 成本领先 / 差异化,"generic-strategies, cost-leadership",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-033,,OGSM层级,OgsmHierarchy,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,目标-策略-衡量-行动四层级联,用于战略到执行的转化,OGSM / 目标策略衡量行动,ogsm,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-034,,战略选项,StrategyOptions,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,从当前态分叉出多个战略路径,用于战略选择决策,战略选项 / 路径分叉,strategy-options,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-035,,战略杠杆,LeveragePoint,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,杠杆+支点撬动大物体，象征以小搏大,用于关键支点识别,杠杆 / 支点 / 以小搏大,"leverage, fulcrum",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-036,,战略转向,Pivot,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,从横向行进急转直上的90度转弯,用于业务转型/Pivot决策,转向 / Pivot / 战略转折,"pivot, strategic-turn",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-037,,拐点,InflectionPoint,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,曲线斜率突变的关键转折点,用于趋势拐点识别,拐点 / Inflection / 斜率突变,inflection-point,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-038,,战略主题,StrategicTheme,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,六边形包裹核心主题，象征贯穿全局的战略主线,用于年度战略主题标识,战略主题 / 主线 / Theme,strategic-theme,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-039,,竞争格局,CompetitiveLandscape,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,中心是自身，周围尺寸不一的圆代表竞争对手,用于竞争图谱分析,竞争格局 / 图谱,competitive-landscape,4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
STRAT-040,,情景规划,ScenarioPlanning,原创设计·几何抽象,PPT图标语义库·咨询框架包,01_战略框架,从当前态分叉出乐观/中性/悲观三种未来情景,用于不确定性下的多情景战略规划,情景规划 / Scenario / 未来情景,"scenario, planning",4,01_战略框架,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-001,,PDCA循环,PdcaCycle,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,Plan-Do-Check-Act 四步循环改进经典模型,用于持续改进项目,PDCA / 戴明环 / 持续改进,"pdca, deming-cycle",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-002,,Stage-Gate,StageGate,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,阶段+门禁交替的项目管理流程,用于研发/创新项目门禁评审,Stage-Gate / 门禁评审,"stage-gate, phase-gate",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-003,,瀑布流程,Waterfall,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,下行台阶象征顺序不可逆的瀑布开发,用于传统项目管理,瀑布 / 顺序流程,"waterfall, sequential",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-004,,敏捷迭代,AgileSprint,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,短周期循环的敏捷迭代,用于Scrum/敏捷开发,敏捷 / Sprint / Scrum,"agile, sprint, scrum",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-005,,迭代螺旋,IterativeSpiral,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,由内向外渐扩的螺旋表示迭代深化,用于螺旋式开发模型,螺旋 / 迭代深化,"spiral, iterative",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-006,,路线图,Roadmap,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,时间轴上分阶段递进的产品/项目里程碑,用于产品路线图、项目计划,路线图 / Roadmap / 里程碑,"roadmap, milestones",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-007,,关键路径,CriticalPath,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,网络图中以加粗线标识的最长路径,用于项目计划关键路径识别,关键路径 / PERT / 网络图,"critical-path, pert",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-008,,甘特图,GanttChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,时间轴上按任务排列的水平条,用于项目进度可视化,甘特图 / Gantt / 进度,"gantt, schedule",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-009,,流程分叉,WorkflowSplit,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,一变多的流程分叉,用于决策分支、并行处理,分叉 / 并行,"split, fork, parallel",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-010,,流程汇合,WorkflowMerge,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,多变一的流程汇合,用于结果汇总、合并,汇合 / 合并,"merge, join",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-011,,决策树,DecisionTree,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,节点为判断、叶子为结果的树状结构,用于决策分析、分类,决策树 / Decision-Tree,decision-tree,6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-012,,六阶漏斗,Funnel6,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,六层渐窄漏斗代表多阶段过滤,用于销售/招聘/转化漏斗,六阶漏斗 / 多阶段过滤,"funnel-6, multi-stage",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-013,,客户旅程,CustomerJourney,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,起伏曲线上的接触点构成客户体验旅程,用于体验旅程地图绘制,客户旅程 / 体验地图,"customer-journey, experience-map",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-014,,AIDA模型,Aida,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,Attention-Interest-Desire-Action 四阶段消费者反应,用于营销漏斗设计,AIDA / 营销漏斗 / 认知-兴趣-欲望-行动,"aida, marketing-funnel",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-015,,AARRR指标,Aarrr,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,Acquisition-Activation-Retention-Revenue-Referral 海盗指标,用于增长黑客指标体系,AARRR / 海盗指标 / 增长黑客,"aarrr, pirate-metrics",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-016,,DMAIC流程,Dmaic,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,Define-Measure-Analyze-Improve-Control 六西格玛流程,用于六西格玛改进项目,DMAIC / 六西格玛,"dmaic, six-sigma",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-017,,持续改进,Kaizen,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,向上箭头上的小台阶象征点滴积累,用于持续改进文化,持续改进 / Kaizen / 改善,"kaizen, continuous-improvement",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-018,,V模型,VModel,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,左侧设计阶段与右侧验证阶段对应的V形流程,用于软件/系统开发,V模型 / 验证流程,v-model,6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-019,,构建-测量-学习,BuildMeasureLearn,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,精益创业核心循环：构建MVP→测量→学习,用于精益创业、产品迭代,构建测量学习 / BML / 精益创业,"build-measure-learn, lean-startup",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-020,,待办队列,BacklogQueue,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,按优先级排序的渐短任务条,用于产品Backlog/任务队列,Backlog / 待办队列 / 优先级,"backlog, queue, priority",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-021,,每日站会,Standup,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,三人并立短会的敏捷仪式,用于Daily Standup每日站会,站会 / 晨会 / Daily-Standup,"standup, daily-meeting",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-022,,复盘,Retrospective,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,回望循环+对勾代表对过往周期的复盘验证,用于Sprint回顾、项目复盘,复盘 / Retro / 回顾,"retrospective, review",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-023,,Sprint看板,SprintBoard,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,三栏看板：待办/进行中/完成,用于敏捷Sprint管理,看板 / Sprint / Kanban,"kanban, sprint-board",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-024,,OODA循环,OodaLoop,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,Observe-Orient-Decide-Act 决策循环,用于快速决策、应急响应,OODA / 决策循环,"ooda, decision-loop",6,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-025,,检查点循环,CheckpointLoop,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,循环路径上四个检查点,用于带门禁的迭代流程,检查点 / Checkpoint,"checkpoint, milestone-loop",7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-026,,精益循环,LeanLoop,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,精益的持续改进循环,用于精益管理体系,精益 / Lean,lean,7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-027,,双轨开发,DualTrack,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,发现轨与交付轨并行推进,用于双轨敏捷,双轨 / Discovery-Delivery,"dual-track, discovery-delivery",7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
