编号,图标预览,中文名,英文名,图标来源,图标集,场景章节,隐喻含义,建议用法,中文关键词,英文关键词,所在PPT页码,所在PPT分类,Office改色状态,授权提示
DATA-029,,折线图·下降,LineChartDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列（下降变体）,用于趋势、走势、时序变化（下降场景）,折线 / 趋势 / 时序 / 走势 / 下降,"line, trend, timeseries, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-030,,折线图·洞察,LineChartInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,折线表示时间序列（洞察变体）,用于趋势、走势、时序变化（洞察场景）,折线 / 趋势 / 时序 / 走势 / 洞察,"line, trend, timeseries, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-031,,饼图,PieChart,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比,用于结构占比、份额分布,饼图 / 占比 / 份额 / 结构,"pie, share, distribution",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-032,,饼图·已验证,PieChartVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比（已验证变体）,用于结构占比、份额分布（已验证场景）,饼图 / 占比 / 份额 / 结构 / 已验证,"pie, share, distribution, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-033,,饼图·预警,PieChartAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比（预警变体）,用于结构占比、份额分布（预警场景）,饼图 / 占比 / 份额 / 结构 / 预警,"pie, share, distribution, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-034,,饼图·上升,PieChartUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比（上升变体）,用于结构占比、份额分布（上升场景）,饼图 / 占比 / 份额 / 结构 / 上升,"pie, share, distribution, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-035,,饼图·下降,PieChartDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比（下降变体）,用于结构占比、份额分布（下降场景）,饼图 / 占比 / 份额 / 结构 / 下降,"pie, share, distribution, down",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-036,,饼图·洞察,PieChartInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,圆环切分表示占比（洞察变体）,用于结构占比、份额分布（洞察场景）,饼图 / 占比 / 份额 / 结构 / 洞察,"pie, share, distribution, insight",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-037,,仪表盘,Dashboard,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标,用于综合健康度、KPI驾驶舱,仪表盘 / 驾驶舱 / KPI / 核心指标,"dashboard, gauge, kpi",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-038,,仪表盘·已验证,DashboardVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标（已验证变体）,用于综合健康度、KPI驾驶舱（已验证场景）,仪表盘 / 驾驶舱 / KPI / 核心指标 / 已验证,"dashboard, gauge, kpi, verified",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-039,,仪表盘·预警,DashboardAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标（预警变体）,用于综合健康度、KPI驾驶舱（预警场景）,仪表盘 / 驾驶舱 / KPI / 核心指标 / 预警,"dashboard, gauge, kpi, alert",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-040,,仪表盘·上升,DashboardUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标（上升变体）,用于综合健康度、KPI驾驶舱（上升场景）,仪表盘 / 驾驶舱 / KPI / 核心指标 / 上升,"dashboard, gauge, kpi, up",3,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-041,,仪表盘·下降,DashboardDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标（下降变体）,用于综合健康度、KPI驾驶舱（下降场景）,仪表盘 / 驾驶舱 / KPI / 核心指标 / 下降,"dashboard, gauge, kpi, down",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-042,,仪表盘·洞察,DashboardInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,速度表象征核心指标（洞察变体）,用于综合健康度、KPI驾驶舱（洞察场景）,仪表盘 / 驾驶舱 / KPI / 核心指标 / 洞察,"dashboard, gauge, kpi, insight",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-043,,指标卡,KpiCard,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头,用于看板单卡、首屏KPI,指标卡 / 看板 / 卡片,"kpi, card, metric",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-044,,指标卡·已验证,KpiCardVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头（已验证变体）,用于看板单卡、首屏KPI（已验证场景）,指标卡 / 看板 / 卡片 / 已验证,"kpi, card, metric, verified",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-045,,指标卡·预警,KpiCardAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头（预警变体）,用于看板单卡、首屏KPI（预警场景）,指标卡 / 看板 / 卡片 / 预警,"kpi, card, metric, alert",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-046,,指标卡·上升,KpiCardUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头（上升变体）,用于看板单卡、首屏KPI（上升场景）,指标卡 / 看板 / 卡片 / 上升,"kpi, card, metric, up",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-047,,指标卡·下降,KpiCardDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头（下降变体）,用于看板单卡、首屏KPI（下降场景）,指标卡 / 看板 / 卡片 / 下降,"kpi, card, metric, down",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-048,,指标卡·洞察,KpiCardInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,一张卡片+一个指标+一个箭头（洞察变体）,用于看板单卡、首屏KPI（洞察场景）,指标卡 / 看板 / 卡片 / 洞察,"kpi, card, metric, insight",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-049,,散点分布,ScatterPlot,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布,用于相关性分析、数据探索,散点 / 分布 / 相关性,"scatter, distribution, correlation",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-050,,散点分布·已验证,ScatterPlotVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布（已验证变体）,用于相关性分析、数据探索（已验证场景）,散点 / 分布 / 相关性 / 已验证,"scatter, distribution, correlation, verified",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-051,,散点分布·预警,ScatterPlotAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布（预警变体）,用于相关性分析、数据探索（预警场景）,散点 / 分布 / 相关性 / 预警,"scatter, distribution, correlation, alert",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-052,,散点分布·上升,ScatterPlotUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布（上升变体）,用于相关性分析、数据探索（上升场景）,散点 / 分布 / 相关性 / 上升,"scatter, distribution, correlation, up",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-053,,散点分布·下降,ScatterPlotDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布（下降变体）,用于相关性分析、数据探索（下降场景）,散点 / 分布 / 相关性 / 下降,"scatter, distribution, correlation, down",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-054,,散点分布·洞察,ScatterPlotInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,离散点图象征样本分布（洞察变体）,用于相关性分析、数据探索（洞察场景）,散点 / 分布 / 相关性 / 洞察,"scatter, distribution, correlation, insight",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-055,,增长曲线,GrowthCurve,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长,用于增长黑客、用户增长、复利场景,增长曲线 / 指数 / 复利,"growth, curve, exponential",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-056,,增长曲线·已验证,GrowthCurveVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长（已验证变体）,用于增长黑客、用户增长、复利场景（已验证场景）,增长曲线 / 指数 / 复利 / 已验证,"growth, curve, exponential, verified",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-057,,增长曲线·预警,GrowthCurveAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长（预警变体）,用于增长黑客、用户增长、复利场景（预警场景）,增长曲线 / 指数 / 复利 / 预警,"growth, curve, exponential, alert",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-058,,增长曲线·上升,GrowthCurveUp,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长（上升变体）,用于增长黑客、用户增长、复利场景（上升场景）,增长曲线 / 指数 / 复利 / 上升,"growth, curve, exponential, up",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-059,,增长曲线·下降,GrowthCurveDown,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长（下降变体）,用于增长黑客、用户增长、复利场景（下降场景）,增长曲线 / 指数 / 复利 / 下降,"growth, curve, exponential, down",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-060,,增长曲线·洞察,GrowthCurveInsight,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,S形/J形曲线象征指数增长（洞察变体）,用于增长黑客、用户增长、复利场景（洞察场景）,增长曲线 / 指数 / 复利 / 洞察,"growth, curve, exponential, insight",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-061,,目标靶心,Target,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,靶心象征精准目标,用于OKR、KPI、目标管理,靶心 / 目标 / 精准 / OKR,"target, bullseye, okr",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-062,,目标靶心·已验证,TargetVerified,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,靶心象征精准目标（已验证变体）,用于OKR、KPI、目标管理（已验证场景）,靶心 / 目标 / 精准 / OKR / 已验证,"target, bullseye, okr, verified",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
DATA-063,,目标靶心·预警,TargetAlert,原创设计·程序化生成,PPT图标语义库·可改色形状,01_数据指标趋势,靶心象征精准目标（预警变体）,用于OKR、KPI、目标管理（预警场景）,靶心 / 目标 / 精准 / OKR / 预警,"target, bullseye, okr, alert",4,01_数据指标趋势,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 可商用 · 形状非 SVG · 单色 PowerPoint Shape
